"year","month","date","day","p1","p2","p3","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"1991","04","20","sat","3114","4247","7515","6281","2697","6381","0114","0062","6838","6185","9595","1153","2311","3227","5210","9144","9991","1926","8889","3261","0872","8062","4409"
"1991","04","21","sun","3694","0596","9565","4786","7467","8418","1047","2125","7537","4149","4287","5161","4190","9611","5167","8385","4769","6838","2249","1479","3307","9056","2887"
"1991","04","24","wed","5719","8705","0061","8611","8123","1538","2886","6638","8624","6322","7317","2058","5181","2125","8718","4194","7772","1033","1825","3367","7197","7895","7396"
"1991","04","27","sat","3923","1419","9653","0119","4605","1098","8429","2799","9054","0830","9744","5835","5623","5548","4238","6815","6501","0612","6878","5773","7120","0730","2169"
"1991","04","28","sun","5231","9308","5435","6162","8855","8298","8158","1920","3421","4777","5121","4707","4710","9652","8692","3185","5424","0774","2709","9527","6944","9587","0029"
"1991","05","01","wed","2777","9369","0947","8852","6585","3876","2735","1505","6874","6380","5409","1156","4520","8412","0320","4242","4203","4831","4729","4089","4632","3940","1714"
"1991","05","04","sat","8383","0068","6096","6240","5390","2123","9258","4118","1494","9363","4958","7384","5032","0255","7560","9111","1865","4604","0507","6181","6177","9142","0998"
"1991","05","05","sun","6794","4946","7427","4976","7758","0600","9390","7080","6559","2796","0416","0409","7064","4305","2503","9159","8936","7284","1322","5634","9178","0437","5215"
"1991","05","08","wed","3801","1692","4140","8207","6948","5522","5631","3752","9319","0350","9737","9605","2264","9465","0688","1681","0847","3344","2620","3851","4148","1535","4080"
"1991","05","11","sat","8025","5246","0597","1595","9979","8720","0131","0795","2233","9807","5395","0448","1238","6120","2391","9516","7129","1756","0335","9656","6895","7669","0636"
"1991","05","12","sun","5158","3244","6619","9413","6865","6008","0543","6976","4577","9154","5377","1899","7663","4362","3929","3647","0573","8854","9316","7874","9406","5887","2069"
"1991","05","15","wed","9481","2427","4230","1527","1101","2816","1413","3719","1238","7811","2154","5381","0724","9447","1695","1699","4165","6421","8264","8634","2960","8549","2398"
"1991","05","18","sat","1150","7700","7992","2792","8894","8482","0412","4983","0240","8166","6036","1930","4168","3921","8822","9984","0601","8607","5951","6067","1774","0070","0803"
"1991","05","19","sun","6611","4387","7346","9139","3684","2453","4834","2375","3687","2524","6082","8817","6437","5509","0383","8434","0283","8375","5433","5073","1758","5467","0162"
"1991","05","22","wed","0731","5969","7303","4905","5478","1107","4242","9360","9981","4747","5750","9864","0246","2190","7790","6418","4659","6018","5000","9050","9379","9950","2239"
"1991","05","25","sat","2057","1243","2462","6863","5945","8509","7678","9710","8019","8183","9515","9041","8841","5585","5319","3817","9712","6829","4732","1056","7974","3023","5350"
